"CodProducto","CodBarraDB","ProductoDB","ExcelRow","CodigoExcel","TratamientoExcel","Score","JustificacionChars","Justificacion"
"10132","35","PIEZA DE PUENTE METAL Y  CEROMERO PROTESIS  (LABORATORIO) POR CORONA (POR DIENTE)","101","35","PIEZA DE PUENTE METAL Y CEROMERO PROTESIS (LABORATORIO) POR CORONA (POR DIENTE)","100","224","Si no se repone el espacio con un puente cuando está indicado, los dientes vecinos pueden moverse, la mordida puede descompensarse y la masticación verse afectada. El puente ayuda a recuperar función, estética y estabilidad."
"10133","36","PROVISORIO DENTAL (LABORATORIO)","130","36","PROVISORIO DENTAL (LABORATORIO)","100","202","Si no se coloca el provisorio, el diente preparado puede quedar expuesto, sensible o contaminarse, además de perder estética y espacio. El provisorio protege la pieza hasta la rehabilitación definitiva."
"10131","37","PIEZA DE PROVISORIO PROTESIS (LABORATORIO)","98","37","PIEZA DE PROVISORIO PROTESIS (LABORATORIO)","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10130","38","CORONA DE ACRILICO POR PIEZA DENTAL  (LABORATORIO)","42","38","CORONA DE ACRILICO POR PIEZA DENTAL (LABORATORIO)","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10038","39","RADIOGRAFIA  PERIAPICAL ( EN CONSULTORIO)","136","39","RADIOGRAFIA PERIAPICAL ( EN CONSULTORIO)","100","236","Si no se realiza la radiografía indicada, pueden pasar desapercibidas caries profundas, infecciones, lesiones en la raíz o problemas óseos. Realizarla permite diagnosticar con mayor seguridad y evitar tratamientos incompletos o tardíos."
"10106","40","BLANQUEAMIENTO INSTANTANEO POR CONSULTORIO(2 SESIONES)","15","40","BLANQUEAMIENTO INSTANTANEO POR CONSULTORIO(2 SESIONES)","100","219","Si no se realiza el blanqueamiento, no suele haber un riesgo clínico importante, pero pueden mantenerse manchas o un color que incomoda al paciente. Realizarlo mejora la estética de la sonrisa y la seguridad al sonreír."
"10129","41","CORONA  POR PIEZA DENTARIA PORCELANA (LABORATORIO)","41","41","CORONA POR PIEZA DENTARIA PORCELANA (LABORATORIO)","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10128","42","INCRUSTACION DIENTES PREMOLARES  PORCELANA  (LABORATORIO)","70","42","INCRUSTACION DIENTES PREMOLARES PORCELANA (LABORATORIO)","100","226","Si no se reconstruye la pieza con la incrustación indicada, la cavidad puede avanzar, filtrarse o fracturar más estructura dental. Realizarla protege el diente, recupera función masticatoria y evita tratamientos más complejos."
"10127","43","POSTERIOR MOLAR OVERLAY CARIES PORCELANA (LABORATORIO)","115","43","POSTERIOR MOLAR OVERLAY CARIES PORCELANA (LABORATORIO)","100","226","Si no se reconstruye la pieza con la incrustación indicada, la cavidad puede avanzar, filtrarse o fracturar más estructura dental. Realizarla protege el diente, recupera función masticatoria y evita tratamientos más complejos."
"10047","44","GERMECTOMIA ","66","44","GERMECTOMIA","100","229","Si no se realiza la germectomía indicada, el germen dentario puede continuar desarrollándose y generar apiñamiento, retención, dolor o daño en dientes vecinos. Realizarla a tiempo puede evitar cirugías más complejas más adelante."
"10100","45","CIRUGIA PEDIATRICA DIENTE MOVIL PNC","31","45","CIRUGIA PEDIATRICA DIENTE MOVIL PNC","100","237","Si no se retira el diente temporal indicado, puede mantenerse dolor, infección, molestia al masticar o interferencia con la erupción del permanente. Resolverlo a tiempo ayuda a evitar urgencias y a proteger el desarrollo de la dentición."
"10102","46","BLANQUEAMIENTO INTERNO(POS ENDO)","16","46","BLANQUEAMIENTO INTERNO(POS ENDO)","100","225","Si no se realiza el blanqueamiento interno, el diente tratado puede mantenerse oscuro y afectar la estética de la sonrisa. Realizarlo permite mejorar el color de forma más conservadora antes de indicar opciones más invasivas."
"10220","48","AGREGADO DE 1 DIENTE (PROTESIS DE ACRILICO) ","4","48","AGREGADO DE 1 DIENTE (PROTESIS DE ACRILICO)","100","215","Si no se repara o completa la prótesis, puede perder estabilidad, lastimar la encía, afectar la masticación y sobrecargar otros dientes. Corregirla permite recuperar función, comodidad y seguridad al hablar o comer."
"10126","49","POSTERIOR MOLAR ONLAY CARIES PORCELANA  (LABORATORIO)","113","49","POSTERIOR MOLAR ONLAY CARIES PORCELANA (LABORATORIO)","100","226","Si no se reconstruye la pieza con la incrustación indicada, la cavidad puede avanzar, filtrarse o fracturar más estructura dental. Realizarla protege el diente, recupera función masticatoria y evita tratamientos más complejos."
"10042","50","POSTERIOR PREMOLAR OCLUSAL MD  CARIES ","118","50","POSTERIOR PREMOLAR OCLUSAL MD CARIES","100","235","Si no se realiza la restauración, la caries puede avanzar, llegar al nervio, causar dolor, infección, fractura dental, necesidad de conducto o incluso extracción. Tratarla a tiempo conserva más diente sano y evita que el costo aumente."
"10112","51","FLURIZACION GEL/BARNIZ ","64","51","FLURIZACION GEL/BARNIZ","100","210","Si no se aplica el flúor, el esmalte queda con menor protección frente a caries y sensibilidad. Realizarlo ayuda a reforzar los dientes, reducir el riesgo de lesiones nuevas y evitar tratamientos más complejos."
"10125","52","POSTERIOR MOLAR INLAY CARIES PORCELANA (LABORATORIO)","109","52","POSTERIOR MOLAR INLAY CARIES PORCELANA (LABORATORIO)","100","226","Si no se reconstruye la pieza con la incrustación indicada, la cavidad puede avanzar, filtrarse o fracturar más estructura dental. Realizarla protege el diente, recupera función masticatoria y evita tratamientos más complejos."
"10056","53","DIENTE RETENIDO CIRUGIA (EXTRACCION) ","53","53","DIENTE RETENIDO CIRUGIA (EXTRACCION)","100","233","Si no se trata el diente retenido o supernumerario indicado, puede alterar la erupción, desplazar dientes, causar dolor, infección, quistes o dañar piezas vecinas. Resolverlo a tiempo facilita la planificación y evita complicaciones."
"10051","55","ORTODONCIA CONVENCIONAL METALICO X12 ","93","55","ORTODONCIA CONVENCIONAL METALICO X12","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10055","56","UNIRRADICULARES ","161","56","UNIRRADICULARES","100","234","Si no se realiza la endodoncia indicada, la inflamación o infección del nervio puede avanzar, producir dolor intenso, absceso, pérdida ósea y posible extracción. Realizarla permite conservar el diente natural y controlar la infección."
"10107","58","LIMPIEZA PERIODONTAL AGUDA COMPLEJA ","74","58","LIMPIEZA PERIODONTAL AGUDA COMPLEJA","100","236","Si no se elimina el sarro y la inflamación, la enfermedad de encías puede avanzar, causando sangrado, mal aliento, pérdida de soporte óseo, movilidad y eventual pérdida dental. Tratarlo a tiempo protege la base que sostiene los dientes."
"10090","60","RETIRO DE APARATO DE BRACKETS  SUPERIOR 0 INF.","143","60","RETIRO DE APARATO DE BRACKETS SUPERIOR 0 INF.","100","239","Si no se retira la aparatología cuando corresponde, puede dificultarse la higiene, acumular placa, irritar tejidos o afectar el cierre adecuado del tratamiento. Retirarla en el momento correcto ayuda a finalizar y estabilizar el resultado."
"10086","63","CEMENTADO DE PROVISORIO ","24","63","CEMENTADO DE PROVISORIO","100","207","Si no se cementa o recementa la pieza indicada, la restauración puede quedar floja, filtrarse, fracturarse o permitir caries debajo. Cementarla correctamente ayuda a proteger el diente y mantener la función."
"10044","66","POSTERIOR MOLAR ONLAY CARIES CEROMERO (LABORATORIO)","112","66","POSTERIOR MOLAR ONLAY CARIES CEROMERO (LABORATORIO)","100","226","Si no se reconstruye la pieza con la incrustación indicada, la cavidad puede avanzar, filtrarse o fracturar más estructura dental. Realizarla protege el diente, recupera función masticatoria y evita tratamientos más complejos."
"10117","67","RETIRO DE BRACKET INFERIOR","144","67","RETIRO DE BRACKET INFERIOR","100","239","Si no se retira la aparatología cuando corresponde, puede dificultarse la higiene, acumular placa, irritar tejidos o afectar el cierre adecuado del tratamiento. Retirarla en el momento correcto ayuda a finalizar y estabilizar el resultado."
"10109","68","PROFILAXIS ","120","68","PROFILAXIS","100","221","Si no se realiza la profilaxis, la placa y manchas pueden acumularse y favorecer inflamación de encías, mal aliento y caries. La limpieza preventiva ayuda a mantener la boca sana y detectar problemas antes de que avancen."
"10057","69","TERCER MOLAR  SUPERIOR  SIN ERUPCION (CIRUGIA) ","154","69","TERCER MOLAR SUPERIOR SIN ERUPCION (CIRUGIA)","100","231","Si no se controla o extrae el tercer molar retenido indicado, puede provocar dolor, infección, inflamación, caries en el diente vecino, daño periodontal o formación de lesiones. Tratarlo a tiempo reduce el riesgo de complicaciones."
"10118","70","RETIRO DE BRACKET SUPERIOR","145","70","RETIRO DE BRACKET SUPERIOR","100","239","Si no se retira la aparatología cuando corresponde, puede dificultarse la higiene, acumular placa, irritar tejidos o afectar el cierre adecuado del tratamiento. Retirarla en el momento correcto ayuda a finalizar y estabilizar el resultado."
"10243","071","INSTALACION DE BRACKETS POR ARCADA","71","71","INSTALACION DE BRACKETS POR ARCADA","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10120","72","MODELO DE ESTUDIO","82","72","MODELO DE ESTUDIO","100","239","Si no se realiza el modelo de estudio, la planificación puede quedar menos precisa, especialmente en ortodoncia, prótesis o rehabilitación. El modelo ayuda a evaluar mordida, espacios y forma de los dientes antes de decidir el tratamiento."
"10121","73","RETIRO DE PERNO COMPLEJO","147","73","RETIRO DE PERNO COMPLEJO","100","196","Si no se retira el perno indicado, puede impedirse el retratamiento, la reparación o la rehabilitación correcta de la pieza. Retirarlo permite acceder al conducto y resolver la causa del problema."
"10046","75","TERCER MOLAR INFERIOR ERUP.  CIRUGIA ","156","75","TERCER MOLAR INFERIOR ERUP. CIRUGIA","100","219","Si no se trata el tercer molar indicado, puede generar dolor, inflamación, infección, dificultad de higiene, caries o daño en dientes vecinos. Resolverlo a tiempo ayuda a prevenir urgencias y complicaciones posteriores."
"10099","76","CIRUGIA PEDIATRICA DIENTE MOVIL P. COLAB","30","76","CIRUGIA PEDIATRICA DIENTE MOVIL P. COLAB","100","237","Si no se retira el diente temporal indicado, puede mantenerse dolor, infección, molestia al masticar o interferencia con la erupción del permanente. Resolverlo a tiempo ayuda a evitar urgencias y a proteger el desarrollo de la dentición."
"10105","77","BLANQUEAMIENTO AMBULATORIO CON PLACA ","14","77","BLANQUEAMIENTO AMBULATORIO CON PLACA","100","219","Si no se realiza el blanqueamiento, no suele haber un riesgo clínico importante, pero pueden mantenerse manchas o un color que incomoda al paciente. Realizarlo mejora la estética de la sonrisa y la seguridad al sonreír."
"10089","83","PULIDOS DESPUES DE ORTODONCIA ","131","83","PULIDOS DESPUES DE ORTODONCIA","100","204","Si no se realiza el pulido final, pueden quedar rugosidades, restos de adhesivo o manchas que retengan placa y afecten la estética. El pulido ayuda a dejar las superficies más lisas, limpias y agradables."
"10191","85","SELLADO DE FOSAS Y FISURAS ANTICARIES (PEDIATRIA)","152","85","SELLADO DE FOSAS Y FISURAS ANTICARIES (PEDIATRIA)","100","227","Si no se sellan las fosas y fisuras, los surcos profundos pueden acumular restos de comida y bacterias, aumentando el riesgo de caries. El sellado protege esas zonas difíciles de limpiar y ayuda a evitar restauraciones futuras."
"10156","87","CORONA TIPO VENEER (LABORATORIO)","48","87","CORONA TIPO VENEER (LABORATORIO)","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10054","88","RESTO RADICULAR ","142","88","RESTO RADICULAR","100","223","Si no se retira el resto radicular, puede mantenerse un foco de infección, dolor, mal olor, inflamación o daño en el hueso. Extraerlo evita complicaciones y deja la zona en mejores condiciones para cicatrizar o rehabilitar."
"10113","90","PLACA PARA  BRUXISMO ACRILICO (LABORATORIO)","106","90","PLACA PARA BRUXISMO ACRILICO (LABORATORIO)","100","239","Si no se usa la placa indicada, el desgaste por apretamiento o rechinamiento puede avanzar, causando sensibilidad, fracturas, dolor muscular o articular y daño en restauraciones. La placa ayuda a proteger dientes y tratamientos realizados."
"10085","91","CEMENTADO DE CORONA ","23","91","CEMENTADO DE CORONA","100","207","Si no se cementa o recementa la pieza indicada, la restauración puede quedar floja, filtrarse, fracturarse o permitir caries debajo. Cementarla correctamente ayuda a proteger el diente y mantener la función."
"10043","97","POSTERIOR MOLAR INLAY CARIES CEROMERO  (LABORATORIO)","108","97","POSTERIOR MOLAR INLAY CARIES CEROMERO (LABORATORIO)","100","226","Si no se reconstruye la pieza con la incrustación indicada, la cavidad puede avanzar, filtrarse o fracturar más estructura dental. Realizarla protege el diente, recupera función masticatoria y evita tratamientos más complejos."
"10087","98","COLOCACION DE TUBO ","34","98","COLOCACION DE TUBO","100","207","Si no se coloca este componente, el movimiento planificado puede quedar incompleto, retrasar la ortodoncia y afectar la corrección de la mordida. Colocarlo permite continuar el tratamiento con mejor control."
"10182","101","ENDROCROWN (CEROMERO) (LABORATORIO)","58","101","ENDROCROWN (CEROMERO) (LABORATORIO)","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10161","103","ORTODONCIA  AUTOLIGADO  METALICO X12","85","103","ORTODONCIA AUTOLIGADO METALICO X12","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10170","104","ORTODONCIA AUTOLIGADO METALICO X24","87","104","ORTODONCIA AUTOLIGADO METALICO X24","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10171","108","ORTODONCIA AUTOLIGADO METALICO X36","88","108","ORTODONCIA AUTOLIGADO METALICO X36","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10081","111","PERNO METALICO SIMPLE POR PIEZA DENTARIA  (LABORATORIO)","97","111","PERNO METALICO SIMPLE POR PIEZA DENTARIA (LABORATORIO)","100","232","Si no se coloca el perno cuando está indicado, una pieza muy debilitada puede no tener soporte suficiente para recibir una corona o reconstrucción. El perno ayuda a dar retención y permite rehabilitar el diente con mejor pronóstico."
"10166","112","BARRA TRANSPLANTINA","12","112","BARRA TRANSPLANTINA","100","197","Si no se realiza el aparato ortopédico en la etapa indicada, puede perderse una oportunidad importante de guiar el crecimiento, corregir la mordida y evitar tratamientos más complejos en el futuro."
"10177","113","RETRATAMIENTO ENDODONCIA (MECANIZADA PRE MOLAR)","150","113","RETRATAMIENTO ENDODONCIA (MECANIZADA PRE MOLAR)","100","231","Si no se corrige una endodoncia con infección o falla persistente, el dolor o la lesión pueden continuar y avanzar hacia absceso, pérdida ósea o extracción. El retratamiento busca salvar la pieza y evitar una solución más invasiva."
"10167","114","COLOCACIÓN DE BANDA CON TUBO VESTIBULAR Y LINGUAL ","33","114","COLOCACIÓN DE BANDA CON TUBO VESTIBULAR Y LINGUAL","100","207","Si no se coloca este componente, el movimiento planificado puede quedar incompleto, retrasar la ortodoncia y afectar la corrección de la mordida. Colocarlo permite continuar el tratamiento con mejor control."
"10178","115","RETRATAMIENTO ENDODONCIA (MECANIZADA MOLAR)","149","115","RETRATAMIENTO ENDODONCIA (MECANIZADA MOLAR)","100","231","Si no se corrige una endodoncia con infección o falla persistente, el dolor o la lesión pueden continuar y avanzar hacia absceso, pérdida ósea o extracción. El retratamiento busca salvar la pieza y evitar una solución más invasiva."
"10218","117","PROTESIS FLEXIBLE UNILATERAL (HASTA 4 DIENTES )","124","117","PROTESIS FLEXIBLE UNILATERAL (HASTA 4 DIENTES )","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10217","119","PROTESIS FLEXIBLE UNILATERAL (UN SOLO DIENTE )","125","119","PROTESIS FLEXIBLE UNILATERAL (UN SOLO DIENTE )","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10134","121","PIEZA PUENTE PORCELANA PURA (LABORATORIO) POR CORONA (POR DIENTE )","103","121","PIEZA PUENTE PORCELANA PURA (LABORATORIO) POR CORONA (POR DIENTE )","100","224","Si no se repone el espacio con un puente cuando está indicado, los dientes vecinos pueden moverse, la mordida puede descompensarse y la masticación verse afectada. El puente ayuda a recuperar función, estética y estabilidad."
"10135","122","PIEZA DE PUENTE  PORCELANA Y METAL (LABORATORIO) POR CORONA (POR DIENTE )","99","122","PIEZA DE PUENTE PORCELANA Y METAL (LABORATORIO) POR CORONA (POR DIENTE )","100","224","Si no se repone el espacio con un puente cuando está indicado, los dientes vecinos pueden moverse, la mordida puede descompensarse y la masticación verse afectada. El puente ayuda a recuperar función, estética y estabilidad."
